Knapsack,Capacity
1,353
2,179
3,306
4,339
5,500
6,377
7,315
8,362
9,72
10,308
11,388
12,136
13,405
14,464
15,323
16,212
17,392
18,308
19,136
20,183
21,330
22,409
23,104
24,151
25,142
26,330
27,110
28,137
29,175
30,282
31,161
32,499
33,226
34,262
35,372
36,175
37,330
38,133
39,292
40,219
41,62
42,120
43,401
44,93
45,375
46,469
47,472
48,185
49,157
50,352
51,221
52,249
53,160
54,148
55,373
56,193
57,325
58,408
59,360
60,378
61,355
62,284
63,201
64,123
65,91
66,477
67,251
68,411
69,499
70,424
71,394
72,68
73,290
74,106
75,293
76,221
77,369
78,93
79,416
80,264
81,279
82,280
83,167
84,377
85,50
86,206
87,144
88,474
89,487
90,284
91,182
92,187
93,453
94,404
95,220
96,487
97,438
98,222
99,138
100,247
101,375
102,282
103,365
104,206
105,369
106,169
107,224
108,500
109,186
110,401
111,485
112,101
113,413
114,68
115,303
116,224
117,415
118,419
119,50
120,410
121,370
122,209
123,327
124,145
125,223
126,150
127,302
128,51
129,294
130,460
131,315
132,328
133,376
134,147
135,148
136,98
137,265
138,463
139,338
140,71
141,415
142,146
143,80
144,480
145,307
146,75
147,192
148,494
149,200
150,354
151,174
152,122
153,95
154,495
155,53
156,262
157,176
158,292
159,120
160,102
161,103
162,355
163,420
164,168
165,404
166,222
167,173
168,386
169,435
170,439
171,176
172,287
173,329
174,105
175,283
176,51
177,353
178,114
179,268
180,391
181,172
182,373
183,135
184,441
185,77
186,106
187,116
188,163
189,343
190,407
191,111
192,275
193,62
194,342
195,121
196,485
197,307
198,301
199,144
200,126
201,395
202,306
203,119
204,497
205,348
206,155
207,270
208,228
209,386
210,354
211,137
212,367
213,197
214,490
215,184
216,274
217,329
218,310
219,68
220,409
221,54
222,235
223,170
224,248
225,436
226,225
227,236
228,343
229,74
230,391
231,481
232,425
233,63
234,267
235,76
236,384
237,388
238,312
239,374
240,197
241,254
242,472
243,297
244,410
245,92
246,110
247,123
248,474
249,277
250,236
251,224
252,303
253,271
254,453
255,259
256,254
257,199
258,187
259,347
260,357
261,91
262,145
263,286
264,402
265,463
266,267
267,428
268,292
269,355
270,466
271,158
272,297
273,112
274,403
275,276
276,368
277,148
278,422
279,438
280,397
281,314
282,480
283,452
284,449
285,58
286,72
287,213
288,148
289,221
290,304
291,356
292,247
293,177
294,469
295,195
296,74
297,315
298,283
299,96
300,123
301,86
302,104
303,154
304,427
305,274
306,247
307,94
308,297
309,375
310,258
311,255
312,391
313,119
314,161
315,355
316,332
317,450
318,286
319,327
320,51
321,207
322,338
323,385
324,136
325,443
326,217
327,76
328,381
329,344
330,487
331,498
332,178
333,420
334,102
335,337
336,364
337,134
338,353
339,443
340,177
341,424
342,301
343,442
344,424
345,205
346,124
347,264
348,62
349,378
350,99
351,71
352,144
353,297
354,148
355,429
356,50
357,331
358,286
359,365
360,381
361,464
362,164
363,401
364,153
365,134
366,296
367,479
368,65
369,410
370,433
371,162
372,131
373,361
374,423
375,112
376,65
377,466
378,385
379,73
380,161
381,308
382,339
383,122
384,56
385,422
386,142
387,388
388,285
389,90
390,273
391,374
392,433
393,59
394,434
395,304
396,454
397,212
398,341
399,81
400,97
401,402
402,226
403,161
404,240
405,185
406,83
407,221
408,353
409,111
410,462
411,269
412,84
413,227
414,318
415,342
416,256
417,127
418,344
419,315
420,469
421,373
422,288
423,477
424,81
425,189
426,133
427,70
428,226
429,347
430,422
431,253
432,486
433,287
434,329
435,472
436,485
437,210
438,211
439,493
440,318
441,330
442,500
443,312
444,53
445,151
446,310
447,173
448,457
449,251
450,354
451,52
452,463
453,280
454,63
455,290
456,428
457,225
458,99
459,436
460,301
461,473
462,362
463,312
464,385
465,218
466,100
467,499
468,145
469,133
470,251
471,332
472,443
473,80
474,402
475,440
476,403
477,386
478,386
479,134
480,486
481,185
482,285
483,226
484,73
485,218
486,329
487,266
488,243
489,385
490,85
491,94
492,329
493,57
494,194
495,302
496,232
497,404
498,426
499,185
500,81
501,143
502,310
503,334
504,436
505,123
506,312
507,372
508,400
509,135
510,291
511,282
512,179
513,461
514,154
515,335
516,405
517,277
518,271
519,454
520,405
521,297
522,154
523,468
524,219
525,97
526,296
527,242
528,346
529,213
530,197
531,421
532,118
533,367
534,267
535,233
536,260
537,209
538,323
539,125
540,356
541,410
542,304
543,316
544,320
545,242
546,190
547,72
548,463
549,305
550,354
551,399
552,453
553,468
554,212
555,95
556,366
557,193
558,239
559,231
560,254
561,490
562,100
563,245
564,230
565,317
566,134
567,356
568,165
569,272
570,424
571,391
572,183
573,419
574,145
575,248
576,136
577,419
578,321
579,51
580,134
581,136
582,455
583,178
584,197
585,466
586,102
587,75
588,220
589,223
590,93
591,91
592,362
593,488
594,193
595,175
596,264
597,163
598,429
599,206
600,131
