Knapsack,Capacity
1,463
2,59
3,306
4,382
5,468
6,481
7,234
8,110
9,472
10,460
11,242
12,292
13,145
14,474
15,270
16,430
17,207
18,174
19,478
20,275
21,439
22,375
23,271
24,209
25,419
26,62
27,101
28,466
29,391
30,340
31,132
32,177
33,211
34,109
35,150
36,155
37,181
38,62
39,272
40,396
41,363
42,306
43,459
44,447
45,261
46,304
47,141
48,285
49,397
50,378
51,334
52,310
53,235
54,264
55,194
56,404
57,90
58,171
59,166
60,499
61,181
62,172
63,401
64,56
65,387
66,172
67,250
68,315
69,135
70,394
71,478
72,224
73,468
74,233
75,155
76,114
77,412
78,440
79,373
80,353
81,57
82,355
83,432
84,255
85,452
86,257
87,344
88,417
89,365
90,402
91,375
92,182
93,225
94,409
95,472
96,271
97,290
98,384
99,131
100,133
101,257
102,432
103,266
104,159
105,405
106,197
107,229
108,102
109,213
110,253
111,247
112,231
113,406
114,362
115,322
116,177
117,112
118,112
119,413
120,236
121,152
122,436
123,394
124,275
125,281
126,470
127,339
128,211
129,197
130,248
131,347
132,129
133,492
134,66
135,137
136,427
137,458
138,389
139,69
140,227
141,426
142,312
143,227
144,194
145,421
146,105
147,169
148,202
149,127
150,217
151,69
152,247
153,188
154,76
155,141
156,476
157,264
158,125
159,70
160,320
161,199
162,430
163,150
164,182
165,453
166,166
167,418
168,167
169,471
170,193
171,198
172,165
173,314
174,94
175,464
176,454
177,303
178,393
179,414
180,344
181,178
182,280
183,489
184,78
185,269
186,229
187,181
188,231
189,401
190,67
191,371
192,61
193,500
194,363
195,131
196,210
197,356
198,445
199,469
200,270
201,451
202,246
203,218
204,242
205,266
206,360
207,406
208,313
209,200
210,273
211,62
212,449
213,384
214,325
215,437
216,488
217,326
218,175
219,372
220,293
221,419
222,218
223,110
224,350
225,481
226,380
227,250
228,196
229,446
230,171
231,449
232,95
233,170
234,499
235,404
236,262
237,151
238,222
239,166
240,308
241,107
242,342
243,251
244,270
245,211
246,259
247,468
248,79
249,237
250,494
251,374
252,225
253,262
254,413
255,209
256,308
257,358
258,107
259,382
260,374
261,436
262,239
263,491
264,342
265,347
266,186
267,421
268,493
269,356
270,489
271,218
272,294
273,484
274,358
275,177
276,61
277,141
278,297
279,309
280,421
281,355
282,489
283,106
284,250
285,485
286,232
287,442
288,98
289,270
290,308
291,247
292,166
293,176
294,262
295,367
296,390
297,495
298,241
299,278
300,115
