Knapsack,Capacity
1,405
2,266
3,110
4,254
5,63
6,268
7,419
8,466
9,293
10,367
11,125
12,429
13,123
14,245
15,134
16,341
17,220
18,312
19,472
20,148
21,129
22,53
23,498
24,404
25,369
26,314
27,249
28,452
29,499
30,366
31,306
32,55
33,256
34,80
35,465
36,324
37,269
38,413
39,190
40,185
41,226
42,404
43,356
44,338
45,346
46,209
47,327
48,307
49,294
50,489
51,143
52,106
53,328
54,445
55,297
56,412
57,92
58,93
59,315
60,85
61,74
62,192
63,382
64,188
65,262
66,334
67,396
68,128
69,132
70,456
71,260
72,465
73,59
74,340
75,333
76,161
77,294
78,417
79,482
80,174
81,245
82,436
83,117
84,342
85,299
86,417
87,140
88,104
89,352
90,286
91,254
92,107
93,136
94,446
95,474
96,80
97,457
98,464
99,154
100,489
101,360
102,383
103,325
104,129
105,486
106,369
107,162
108,114
109,100
110,460
111,489
112,277
113,146
114,274
115,143
116,176
117,434
118,299
119,103
120,233
121,146
122,203
123,73
124,180
125,88
126,364
127,240
128,441
129,281
130,417
131,489
132,149
133,353
134,287
135,391
136,408
137,282
138,272
139,295
140,71
141,445
142,368
143,369
144,428
145,203
146,233
147,190
148,97
149,173
150,169
151,97
152,103
153,357
154,477
155,205
156,429
157,408
158,385
159,59
160,80
161,375
162,269
163,240
164,218
165,313
166,154
167,482
168,129
169,459
170,304
171,353
172,273
173,132
174,480
175,152
176,52
177,438
178,98
179,377
180,210
181,241
182,89
183,298
184,57
185,448
186,121
187,234
188,172
189,73
190,112
191,387
192,263
193,169
194,295
195,267
196,369
197,108
198,310
199,469
200,345
201,398
202,137
203,264
204,233
205,346
206,248
207,265
208,224
209,144
210,290
211,69
212,354
213,389
214,410
215,59
216,79
217,332
218,228
219,238
220,442
221,456
222,275
223,260
224,110
225,200
226,390
227,232
228,439
229,205
230,54
231,321
232,365
233,440
234,126
235,336
236,84
237,424
238,181
239,234
240,80
241,181
242,211
243,178
244,196
245,274
246,417
247,200
248,435
249,173
250,223
251,303
252,483
253,276
254,201
255,116
256,152
257,281
258,253
259,304
260,158
261,223
262,383
263,416
264,110
265,55
266,210
267,490
268,245
269,364
270,396
271,331
272,131
273,145
274,285
275,65
276,56
277,269
278,183
279,318
280,213
281,331
282,256
283,351
284,140
285,408
286,300
287,382
288,341
289,369
290,75
291,194
292,288
293,218
294,400
295,104
296,220
297,306
298,117
299,399
300,98
301,331
302,279
303,452
304,477
305,400
306,281
307,97
308,347
309,432
310,360
311,430
312,156
313,485
314,338
315,231
316,220
317,278
318,328
319,402
320,328
321,138
322,116
323,291
324,78
325,245
326,75
327,473
328,406
329,439
330,174
331,472
332,313
333,118
334,451
335,76
336,484
337,238
338,106
339,342
340,252
341,163
342,299
343,462
344,270
345,474
346,457
347,252
348,322
349,163
350,210
351,441
352,389
353,425
354,279
355,246
356,459
357,89
358,493
359,497
360,275
361,102
362,179
363,142
364,473
365,250
366,326
367,495
368,81
369,94
370,319
371,147
372,305
373,327
374,246
375,342
376,472
377,428
378,214
379,363
380,220
381,232
382,425
383,458
384,459
385,204
386,68
387,115
388,195
389,66
390,56
391,252
392,263
393,105
394,307
395,202
396,452
397,315
398,212
399,318
400,360
401,124
402,140
403,488
404,402
405,158
406,101
407,342
408,311
409,66
410,300
411,497
412,403
413,374
414,239
415,198
416,76
417,254
418,318
419,213
420,172
421,408
422,228
423,351
424,494
425,290
426,410
427,293
428,389
429,197
430,438
431,321
432,123
433,117
434,153
435,269
436,499
437,325
438,257
439,366
440,268
441,457
442,260
443,183
444,359
445,148
446,329
447,140
448,216
449,176
450,154
451,207
452,399
453,84
454,224
455,301
456,406
457,329
458,232
459,452
460,466
461,236
462,191
463,342
464,312
465,283
466,260
467,291
468,356
469,89
470,485
471,129
472,269
473,167
474,334
475,94
476,350
477,370
