Knapsack,Capacity
1,85
2,275
3,227
4,318
5,157
6,224
7,257
8,151
9,62
10,143
11,429
12,183
13,431
14,302
15,498
16,252
17,198
18,450
19,384
20,358
21,139
22,109
23,67
24,277
25,493
26,218
27,296
28,151
29,149
30,216
31,391
32,258
33,303
34,160
35,342
36,176
37,311
38,292
39,137
40,220
41,63
42,249
43,426
44,335
45,343
46,478
47,159
48,328
49,410
50,349
51,387
52,174
53,167
54,499
55,104
56,77
57,85
58,162
59,232
60,243
61,447
62,66
63,81
64,109
65,474
66,117
67,478
68,112
69,136
70,319
71,227
72,265
73,346
74,216
75,399
76,51
77,197
78,313
79,419
80,499
81,51
82,211
83,422
84,499
85,306
86,60
87,138
88,152
89,398
90,477
91,306
92,473
93,256
94,435
95,301
96,152
97,353
98,268
99,94
100,389
101,259
102,336
103,248
104,325
105,267
106,98
107,143
108,440
109,53
110,442
111,385
112,325
113,157
114,443
115,266
116,386
117,139
118,260
119,135
120,300
121,100
122,142
123,70
124,216
125,359
126,114
127,51
128,374
129,320
130,95
131,278
132,441
133,218
134,369
135,307
136,466
137,171
138,440
139,384
140,350
141,429
142,351
143,297
144,60
145,136
146,74
147,286
148,481
149,466
150,88
151,300
152,232
153,216
154,401
155,410
156,440
157,66
158,309
159,122
160,237
161,86
162,374
163,425
164,334
165,185
166,483
167,365
168,185
169,438
170,89
171,233
172,434
173,351
174,310
175,209
176,329
177,422
178,127
179,93
180,327
181,465
182,54
183,176
184,393
185,137
186,335
187,306
188,92
189,390
190,241
191,68
192,231
193,282
194,493
195,237
196,371
197,333
198,289
199,81
200,262
201,443
202,58
203,257
204,433
205,450
206,146
207,498
208,415
209,331
210,237
211,259
212,131
213,438
214,212
215,238
216,287
217,455
218,219
219,303
220,218
221,315
222,280
223,335
224,358
225,146
226,257
227,463
228,73
229,319
230,377
231,50
232,227
233,182
234,413
235,489
236,392
237,317
238,440
239,491
240,473
241,224
242,128
243,214
244,455
245,134
246,302
247,163
248,167
249,111
250,96
251,144
252,368
253,389
254,51
255,266
256,150
257,384
258,410
259,125
260,260
261,222
262,54
263,302
264,250
265,189
266,341
267,202
268,454
269,350
270,266
271,303
272,231
273,483
274,477
275,163
276,87
277,416
278,272
279,260
280,65
281,100
282,197
283,88
284,100
285,149
286,457
287,191
288,261
289,463
290,153
291,257
292,453
293,324
294,195
295,444
296,106
297,146
298,450
299,499
300,76
301,419
302,191
303,251
304,138
305,265
306,411
307,450
308,260
309,494
310,417
311,206
312,161
313,353
314,360
315,264
316,126
317,441
318,277
319,279
320,351
321,62
322,120
323,333
324,365
325,329
326,479
327,294
328,406
329,199
330,212
331,284
332,298
333,380
334,298
335,311
336,276
337,298
338,472
339,460
340,267
341,51
342,137
343,144
344,253
345,366
346,403
347,162
348,362
349,470
350,287
351,160
352,395
353,171
354,207
355,454
356,139
357,440
358,411
359,241
360,105
361,220
362,239
363,359
364,281
365,100
366,395
367,303
368,217
369,138
370,269
371,267
372,52
373,207
374,344
375,65
376,60
377,399
378,491
379,388
380,112
381,233
382,245
383,482
384,402
385,237
386,433
387,202
388,426
389,122
390,270
391,366
392,208
393,413
394,481
395,181
396,163
397,438
398,62
399,404
400,435
401,155
402,340
