Knapsack,Capacity
1,97
2,230
3,291
4,312
5,298
6,425
7,427
8,500
9,244
10,165
11,146
12,231
13,147
14,430
15,240
16,420
17,406
18,461
19,134
20,170
21,217
22,399
23,331
24,96
25,303
26,240
27,416
28,99
29,111
30,62
31,483
32,291
33,205
34,316
35,210
36,239
37,418
38,170
39,475
40,279
41,357
42,60
43,189
44,107
45,164
46,381
47,98
48,142
49,299
50,401
51,251
52,203
53,147
54,160
55,242
56,413
57,327
58,53
59,113
60,370
61,342
62,328
63,420
64,387
65,287
66,476
67,363
68,315
69,325
70,488
71,152
72,115
73,55
74,244
75,145
76,379
77,75
78,352
79,336
80,445
81,405
82,472
83,287
84,120
85,451
86,469
87,423
88,214
89,252
90,375
91,99
92,216
93,58
94,423
95,407
96,469
97,356
98,377
99,426
100,225
101,285
102,293
103,420
104,320
105,66
106,467
107,323
108,260
109,397
110,469
111,375
112,371
113,246
114,441
115,426
116,57
117,350
118,309
119,136
120,159
121,474
122,491
123,416
124,198
125,402
126,345
127,342
128,275
129,371
130,458
131,331
132,209
133,282
134,183
135,421
136,89
137,255
138,420
139,148
140,266
141,159
142,51
143,152
144,342
145,69
146,339
147,129
148,213
149,450
150,62
151,180
152,218
153,51
154,106
155,272
156,166
157,173
158,169
159,392
160,54
161,433
162,449
163,184
164,296
165,211
166,265
167,135
168,388
169,454
170,309
171,253
172,115
173,191
174,82
175,112
176,131
177,80
178,263
179,255
180,428
181,303
182,185
183,78
184,107
185,272
186,493
187,140
188,250
189,349
190,177
191,346
192,192
193,125
194,197
195,491
196,476
197,94
198,447
199,152
200,280
201,237
202,395
203,70
204,233
205,94
206,306
207,176
208,258
209,113
210,444
211,288
212,293
213,392
214,82
215,53
216,438
217,430
218,335
219,76
220,497
221,447
222,366
223,141
224,250
225,310
226,461
227,303
228,280
229,208
230,142
231,379
232,355
233,127
234,79
235,190
236,353
237,406
238,282
239,51
240,277
241,54
242,479
243,276
244,186
245,183
246,350
247,162
248,145
249,370
250,410
251,435
252,119
253,121
254,117
255,475
256,233
257,476
258,367
259,373
260,312
261,153
262,88
263,64
264,178
265,115
266,245
267,295
268,268
269,220
270,213
271,221
272,128
273,477
274,155
275,105
276,81
277,212
278,120
279,183
280,268
281,298
282,388
283,205
284,159
285,404
286,439
287,220
288,293
289,117
290,425
291,169
292,477
293,379
294,74
295,299
296,300
297,473
298,287
299,198
300,487
301,307
302,207
303,412
304,215
305,393
306,90
307,181
308,437
309,151
310,289
311,106
312,171
313,132
314,321
315,499
316,334
317,119
318,346
319,210
320,124
321,234
322,306
323,141
324,217
325,487
326,271
327,106
328,444
329,268
330,389
331,197
332,406
333,60
334,328
335,462
336,493
337,381
338,293
339,402
340,203
341,209
342,456
343,309
344,336
345,69
346,373
347,129
348,277
349,492
350,216
351,157
352,152
353,319
354,364
355,229
356,273
357,447
358,241
359,359
360,447
361,394
362,407
363,324
364,117
365,415
366,320
367,146
368,256
369,54
370,193
371,96
372,317
373,120
374,428
375,122
376,134
377,257
378,233
379,310
380,319
381,202
382,80
383,89
384,68
385,455
386,194
387,198
388,303
389,185
390,473
391,314
392,50
393,269
394,245
395,148
396,347
397,293
398,444
399,466
400,282
