Knapsack,Capacity
1,359
2,85
3,54
4,93
5,167
6,119
7,264
8,253
9,424
10,425
11,439
12,326
13,134
14,73
15,138
16,338
17,296
18,339
19,220
20,260
21,422
22,197
23,133
24,491
25,499
26,337
27,72
28,387
29,250
30,441
31,97
32,276
33,452
34,205
35,172
36,231
37,391
38,201
39,152
40,66
41,251
42,248
43,278
44,270
45,171
46,72
47,261
48,68
49,62
50,403
51,393
52,190
53,234
54,491
55,214
56,493
57,389
58,264
59,124
60,64
61,412
62,202
63,151
64,419
65,69
66,58
67,118
68,394
69,113
70,445
71,420
72,378
73,466
74,157
75,300
76,215
77,226
78,206
79,318
80,318
81,462
82,492
83,68
84,474
85,476
86,372
87,370
88,297
89,277
90,447
