Knapsack,Capacity
1,434
2,112
3,368
4,405
5,322
6,84
7,142
8,64
9,264
10,76
11,106
12,107
13,110
14,413
15,211
16,349
17,434
18,185
19,251
20,307
21,164
22,144
23,223
24,112
25,364
26,326
27,63
28,135
29,79
30,191
31,56
32,144
33,143
34,260
35,209
36,82
37,107
38,310
39,53
40,206
41,327
42,245
43,253
44,416
45,231
46,440
47,428
48,442
49,301
50,245
51,387
52,340
53,112
54,399
55,264
56,66
57,381
58,111
59,466
60,96
61,260
62,477
63,430
64,99
65,345
66,363
67,94
68,182
69,105
70,105
71,329
72,211
73,156
74,402
75,212
76,280
77,165
78,98
79,456
80,364
81,409
82,140
83,464
84,146
85,299
86,308
87,162
88,443
89,405
90,334
91,170
92,498
93,155
94,206
95,121
96,398
97,123
98,167
99,340
100,323
101,290
102,88
103,482
104,472
105,463
106,485
107,418
108,268
109,200
110,307
111,499
112,200
113,306
114,240
115,305
116,392
117,456
118,73
119,343
120,132
121,374
122,391
123,268
124,227
125,425
126,369
127,189
128,404
129,497
130,232
131,347
132,472
133,322
134,133
135,338
136,219
137,389
138,122
139,124
140,119
141,269
142,146
143,379
144,263
145,186
146,166
147,128
148,385
149,289
150,405
151,83
152,318
153,154
154,372
155,209
156,303
157,479
158,359
159,457
160,392
161,495
162,479
163,70
164,182
165,395
166,176
167,143
168,197
169,75
170,466
171,477
172,489
173,352
174,290
175,297
176,265
177,397
178,122
179,486
180,388
181,190
182,238
183,310
184,141
185,306
186,310
187,324
188,335
189,167
190,333
191,92
192,120
193,65
194,405
195,103
196,233
197,496
198,481
199,330
200,460
