Knapsack,Capacity
1,101
2,139
3,387
4,56
5,295
6,458
7,346
8,429
9,345
10,92
11,215
12,455
13,379
14,176
15,435
16,244
17,456
18,371
19,437
20,313
21,274
22,393
23,98
24,103
25,493
26,85
27,456
28,289
29,458
30,263
31,386
32,133
33,209
34,483
35,471
36,226
37,170
38,494
39,294
40,424
41,258
42,323
43,112
44,380
45,313
46,216
47,270
48,436
49,358
50,444
51,393
52,340
53,293
54,264
55,242
56,379
57,248
58,398
59,250
60,488
61,306
62,388
63,405
64,440
65,374
66,364
67,175
68,87
69,483
70,73
71,340
72,133
73,388
74,62
75,323
76,241
77,369
78,118
79,302
80,235
81,239
82,295
83,375
84,331
85,203
86,353
87,216
88,299
89,341
90,436
91,466
92,423
93,128
94,111
95,455
96,157
97,389
98,344
99,385
100,152
101,450
102,405
103,480
104,360
105,337
106,423
107,331
108,189
109,379
110,406
111,179
112,224
113,77
114,162
115,57
116,300
117,218
118,184
119,499
120,243
121,294
122,396
123,375
124,65
125,406
126,174
127,61
128,319
129,50
130,485
131,350
132,145
133,135
134,50
135,125
136,334
137,377
138,471
139,116
140,310
141,320
142,311
143,272
144,208
145,325
146,410
147,71
148,144
149,79
150,220
151,68
152,55
153,470
154,407
155,327
156,461
157,326
158,196
159,54
160,384
161,224
162,446
163,487
164,406
165,416
166,52
167,414
168,458
169,250
170,282
171,435
172,218
173,129
174,112
175,323
176,122
177,274
178,339
179,102
180,326
181,139
182,60
183,256
184,471
185,325
186,71
187,415
188,208
189,234
190,353
191,344
192,240
193,214
194,445
195,369
196,309
197,283
198,197
199,446
200,316
201,402
202,146
203,455
204,286
205,214
206,274
207,430
208,499
209,306
210,427
211,295
212,114
213,183
214,424
215,196
216,246
217,486
218,53
219,280
220,300
221,430
222,402
223,345
224,355
225,266
226,118
227,459
228,325
229,129
230,353
231,119
232,271
233,306
234,226
235,208
236,56
237,243
238,219
239,154
240,69
241,289
242,197
243,351
244,189
245,195
246,200
247,184
248,432
249,358
250,186
251,128
252,124
253,201
254,218
255,458
256,240
257,196
258,435
259,275
260,120
261,315
262,424
263,237
264,188
265,250
266,320
267,229
268,208
269,490
270,361
271,441
272,488
273,478
274,183
275,158
276,88
277,267
278,198
279,328
280,170
281,410
282,282
283,218
284,79
285,492
286,288
287,173
288,296
289,206
290,488
291,357
292,389
293,380
294,357
295,103
296,128
297,436
298,141
299,306
300,386
301,168
302,53
303,146
304,390
305,375
306,105
307,246
308,182
309,106
310,256
311,211
312,362
313,60
314,326
315,218
316,92
317,174
318,429
319,366
320,53
321,421
322,114
323,481
324,249
325,170
326,286
327,436
328,275
329,79
330,246
331,351
332,170
333,458
334,336
335,88
336,295
337,123
338,412
339,190
340,361
341,275
342,354
343,349
344,133
345,58
346,363
347,72
348,142
349,349
350,343
351,476
352,397
353,129
354,287
355,82
356,80
357,357
358,467
359,428
360,413
361,263
362,220
363,459
364,398
365,420
366,221
367,95
368,197
369,246
370,333
371,394
372,356
373,182
374,154
375,173
376,322
377,248
378,401
379,162
380,351
381,481
382,129
383,400
384,225
385,383
386,455
387,340
388,109
389,324
390,489
391,118
392,292
393,342
394,433
395,66
396,179
397,438
398,434
399,367
400,348
401,330
402,129
403,300
404,311
405,454
406,360
407,439
408,325
409,315
410,292
411,221
412,307
413,115
414,312
415,399
416,121
417,341
418,379
419,238
420,326
421,376
422,87
423,162
424,56
425,239
426,236
427,241
428,242
429,191
430,134
431,51
432,327
433,108
434,363
435,143
436,422
437,394
438,208
439,95
440,344
441,211
442,450
443,78
444,449
445,391
446,422
447,83
448,183
449,234
450,210
451,497
452,240
453,183
454,245
455,260
456,105
457,193
458,109
459,100
460,282
461,217
462,420
463,446
464,199
465,111
466,76
467,286
468,104
469,211
470,238
471,272
472,55
473,84
474,79
475,174
476,203
477,400
478,424
479,188
480,375
481,300
482,75
483,331
484,415
485,281
486,407
487,302
488,236
489,402
490,203
491,255
492,481
493,444
494,167
495,297
496,484
497,275
498,482
499,107
500,275
