Knapsack,Capacity
1,149
2,345
3,297
4,377
5,321
6,310
7,122
8,52
9,332
10,254
11,141
12,149
13,102
14,221
15,491
16,252
17,127
18,166
19,404
20,239
21,357
22,326
23,377
24,71
25,94
26,85
27,268
28,272
29,400
30,367
31,357
32,493
33,454
34,95
35,439
36,95
37,121
38,454
39,91
40,175
41,58
42,338
43,55
44,137
45,84
46,63
47,415
48,107
49,464
50,185
51,366
52,244
53,209
54,334
55,306
56,312
57,438
58,117
59,448
60,250
61,223
62,246
63,393
64,413
65,277
66,399
67,338
68,336
69,398
70,443
71,264
72,474
73,455
74,357
75,67
76,318
77,192
78,86
79,421
80,268
81,216
82,172
83,355
84,353
85,261
86,82
87,454
88,273
89,375
90,440
91,346
92,399
93,470
94,435
95,259
96,347
97,483
98,63
99,272
100,339
101,416
102,102
103,313
104,291
105,83
106,365
107,369
108,116
109,448
110,285
111,93
112,290
113,281
114,178
115,259
116,179
117,188
118,315
119,430
120,365
121,272
122,327
123,188
124,114
125,306
126,234
127,353
128,368
129,413
130,458
131,312
132,498
133,355
134,302
135,311
136,319
137,328
138,152
139,63
140,156
141,324
142,446
143,108
144,185
145,376
146,90
147,52
148,300
149,229
150,97
151,156
152,309
153,243
154,391
155,98
156,379
157,81
158,306
159,453
160,477
161,460
162,472
163,288
164,189
165,330
166,332
167,132
168,370
169,492
170,123
171,85
172,498
173,401
174,75
175,357
176,337
177,481
178,98
179,383
180,408
181,175
182,373
183,95
184,376
185,325
186,482
187,440
188,319
189,325
190,198
191,301
192,154
193,125
194,293
195,120
196,139
197,311
198,401
199,173
200,450
