Knapsack,Capacity
1,406
2,343
3,250
4,85
5,288
6,456
7,287
8,412
9,119
10,426
11,437
12,214
13,133
14,237
15,200
16,103
17,492
18,457
19,100
20,433
21,68
22,403
23,301
24,254
25,238
26,137
27,294
28,375
29,292
30,312
31,492
32,411
33,145
34,275
35,299
36,340
37,347
38,498
39,361
40,133
41,497
42,112
43,414
44,97
45,211
46,68
47,478
48,433
49,61
50,82
51,152
52,492
53,496
54,343
55,281
56,388
57,58
58,379
59,404
60,320
61,200
62,82
63,342
64,165
65,100
66,319
67,329
68,382
69,215
70,432
71,432
72,52
73,170
74,110
75,217
76,268
77,239
78,345
79,152
80,487
81,91
82,489
83,143
84,342
85,393
86,296
87,78
88,125
89,330
90,348
91,246
92,111
93,130
94,152
95,498
96,307
97,165
98,333
99,384
100,295
101,179
102,80
103,189
104,322
105,81
106,183
107,228
108,416
109,114
110,412
111,163
112,110
113,124
114,220
115,65
116,458
117,449
118,293
119,387
120,357
121,439
122,341
123,180
124,219
125,237
126,475
127,280
128,187
129,406
130,138
131,233
132,398
133,422
134,391
135,101
136,328
137,200
138,369
139,175
140,66
141,151
142,255
143,142
144,342
145,59
146,497
147,199
148,199
149,305
150,185
151,269
152,326
153,58
154,364
155,359
156,356
157,55
158,491
159,488
160,110
161,174
162,271
163,403
164,493
165,224
166,372
167,357
168,320
169,286
170,85
171,138
172,69
173,256
174,389
175,104
176,352
177,168
178,61
179,392
180,114
181,269
182,436
183,205
184,82
185,442
186,416
187,197
188,290
189,269
190,256
191,355
192,436
193,167
194,238
195,399
196,425
197,425
198,392
199,251
200,286
201,150
202,417
203,339
204,177
205,338
206,105
207,261
208,173
209,382
210,278
211,416
212,172
213,273
214,161
215,453
216,358
217,293
218,124
219,397
220,233
221,491
222,65
223,481
224,395
225,450
226,180
227,390
228,482
229,378
230,189
231,236
232,294
233,261
234,404
235,481
236,267
237,328
238,84
239,225
240,269
241,378
242,408
243,223
244,199
245,461
246,207
247,82
248,449
249,451
250,101
