Knapsack,Capacity
1,415
2,107
3,271
4,482
5,189
6,307
7,213
8,323
9,199
10,417
11,361
12,491
13,290
14,378
15,215
16,267
17,111
18,327
19,417
20,216
21,406
22,453
23,190
24,171
25,494
26,494
27,467
28,209
29,331
30,210
31,363
32,115
33,258
34,235
35,180
36,476
37,326
38,329
39,400
40,103
41,358
42,313
43,246
44,479
45,489
46,254
47,79
48,234
49,383
50,69
51,149
52,345
53,297
54,377
55,321
56,310
57,122
58,52
59,332
60,254
61,141
62,149
63,102
64,221
65,491
66,252
67,127
68,166
69,404
70,239
71,357
72,326
73,377
74,71
75,94
76,85
77,268
78,272
79,400
80,367
81,357
82,493
83,454
84,95
85,439
86,95
87,121
88,454
89,91
90,175
91,58
92,338
93,55
94,137
95,84
96,63
97,415
98,107
99,464
100,185
101,366
102,244
103,209
104,334
105,306
106,312
107,438
108,117
109,448
110,250
111,223
112,246
113,393
114,413
115,277
116,399
117,338
118,336
119,398
120,443
121,264
122,474
123,455
124,357
125,67
126,318
127,192
128,86
129,421
130,268
131,216
132,172
133,355
134,353
135,261
136,82
137,454
138,273
139,375
140,440
141,346
142,399
143,470
144,435
145,259
146,347
147,483
148,63
149,272
150,339
