Knapsack,Capacity
1,195
2,54
3,443
4,268
5,420
6,493
7,360
8,456
9,274
10,363
11,313
12,123
13,455
14,318
15,438
16,77
17,195
18,135
19,78
20,108
21,101
22,270
23,82
24,324
25,200
26,293
27,269
28,133
29,238
30,479
31,93
32,71
33,387
34,238
35,440
36,163
37,92
38,58
39,229
40,467
41,196
42,338
43,459
44,354
45,287
46,404
47,70
48,362
49,119
50,422
51,468
52,175
53,208
54,254
55,364
56,134
57,451
58,431
59,268
60,316
61,238
62,136
63,236
64,441
65,363
66,424
67,286
68,384
69,434
70,262
71,101
72,231
73,202
74,76
75,284
76,57
77,248
78,353
79,160
80,284
81,370
82,309
83,105
84,218
85,273
86,99
87,460
88,158
89,438
90,261
91,432
92,474
93,67
94,457
95,286
96,96
97,434
98,213
99,244
100,242
101,275
102,96
103,187
104,233
105,383
106,220
107,382
108,180
109,473
110,301
111,64
112,377
113,464
114,321
115,290
116,471
117,137
118,498
119,435
120,322
121,328
122,234
123,292
124,69
125,482
126,94
127,234
128,244
129,280
130,354
131,74
132,108
133,207
134,479
135,93
136,483
137,455
138,319
139,254
140,292
141,461
142,299
143,393
144,228
145,133
146,271
147,226
148,402
149,215
150,473
151,473
152,318
153,134
154,257
155,194
156,86
157,418
158,225
159,224
160,290
161,382
162,125
163,178
164,330
165,155
166,139
167,480
168,353
169,163
170,172
171,73
172,295
173,284
174,296
175,155
176,145
177,73
178,403
179,310
180,97
181,438
182,137
183,430
184,109
185,201
186,472
187,414
188,234
189,308
190,415
191,372
192,110
193,337
194,288
195,416
196,379
197,348
198,481
199,337
200,434
201,263
202,184
203,72
204,472
205,80
206,490
207,416
208,67
209,83
210,403
211,174
212,378
213,206
214,188
215,51
216,152
217,236
218,353
219,468
220,396
221,95
222,63
223,421
224,378
225,65
226,236
227,385
228,179
229,96
230,199
231,100
232,362
233,86
234,161
235,249
236,337
237,118
238,73
239,155
240,431
241,421
242,303
243,390
244,295
245,185
246,462
247,268
248,93
249,320
250,466
251,345
252,315
253,133
254,175
255,113
256,405
257,65
258,447
259,423
260,484
261,92
262,224
263,493
264,98
265,434
266,338
267,492
268,498
269,302
270,70
271,163
272,72
273,137
274,432
275,347
276,287
277,57
278,367
279,146
280,203
281,409
282,95
283,132
284,258
285,133
286,296
287,200
288,120
289,193
290,252
291,128
292,447
293,245
294,329
295,125
296,474
297,97
298,128
299,497
300,428
301,214
302,470
303,115
304,251
305,350
306,447
307,500
308,422
309,174
310,483
311,56
312,493
313,439
314,287
315,493
316,127
317,234
318,51
319,370
320,147
321,310
322,399
323,341
324,440
325,72
326,292
327,442
328,419
329,492
330,60
331,367
332,161
333,189
334,283
335,446
336,376
337,280
338,219
339,330
340,163
341,327
342,329
343,343
344,216
345,304
346,414
347,307
348,245
349,168
350,463
351,120
352,399
353,223
354,178
355,150
356,225
357,444
358,284
359,254
360,253
361,386
362,485
363,295
364,156
365,278
366,385
367,109
368,319
369,315
370,322
371,272
372,304
373,163
374,112
375,138
376,337
377,373
378,292
379,249
380,171
381,344
382,151
383,203
384,290
385,297
386,445
387,246
388,61
389,257
390,182
391,290
392,436
393,477
394,83
395,68
396,415
397,401
398,364
399,143
400,246
401,408
402,128
403,88
404,199
405,444
406,112
407,264
408,413
409,455
410,176
411,137
412,94
413,234
414,304
415,334
416,433
417,356
418,330
419,476
420,148
421,496
422,181
423,278
424,365
425,305
426,117
427,138
428,302
429,94
430,393
431,213
432,118
433,370
434,410
435,208
436,256
437,150
438,430
439,117
440,256
441,456
442,377
443,136
444,61
445,92
446,295
447,436
448,202
449,88
450,61
451,198
452,130
453,471
454,301
455,327
456,401
457,482
458,88
459,227
460,337
461,387
462,234
463,70
464,122
465,492
466,259
467,278
468,488
469,262
470,87
471,233
472,152
473,435
474,432
475,414
476,435
477,188
478,478
479,253
480,61
481,81
482,258
483,54
484,457
485,294
486,350
487,427
488,483
489,480
490,138
491,346
492,231
493,256
494,415
495,94
496,369
497,79
498,347
499,406
500,349
501,461
502,100
503,247
504,408
505,85
506,223
507,349
508,152
509,201
510,130
511,71
512,124
513,206
514,136
515,249
516,272
517,311
518,368
519,57
520,156
521,337
522,226
523,464
524,472
525,165
526,186
527,276
528,348
529,487
530,419
531,90
532,236
533,106
534,344
535,273
536,239
537,426
538,297
539,74
540,178
541,127
542,288
543,131
544,159
545,336
546,175
547,210
548,458
549,402
550,497
551,74
552,428
553,439
554,149
555,106
556,396
557,309
558,301
559,280
560,246
561,296
562,172
563,193
564,461
565,124
566,52
567,206
568,356
569,99
570,270
571,464
572,394
573,416
574,422
575,224
576,148
577,281
578,94
579,395
580,103
581,332
582,95
583,134
584,359
585,160
586,481
587,309
588,222
589,51
590,325
591,134
592,435
593,79
594,362
595,402
596,135
597,310
598,193
599,151
600,445
