Knapsack,Capacity
1,120
2,208
3,86
4,392
5,389
6,280
7,337
8,250
9,159
10,454
11,416
12,195
13,261
14,178
15,69
16,274
17,82
18,263
19,186
20,154
21,312
22,210
23,357
24,60
25,348
26,496
27,393
28,376
29,354
30,88
31,156
32,335
33,167
34,250
35,345
36,209
37,156
38,496
39,361
40,128
41,142
42,219
43,335
44,245
45,209
46,362
47,367
48,91
49,191
50,403
51,72
52,266
53,488
54,301
55,186
56,226
57,82
58,479
59,173
60,412
61,417
62,122
63,109
64,114
65,263
66,56
67,315
68,77
69,469
70,222
71,260
72,327
73,250
74,281
75,230
76,127
77,63
78,99
79,97
80,414
81,56
82,162
83,313
84,156
85,433
86,468
87,474
88,136
89,395
90,113
91,206
92,75
93,211
94,260
95,426
96,498
97,154
98,63
99,287
100,95
101,92
102,292
103,325
104,334
105,246
106,426
107,298
108,121
109,154
110,109
111,294
112,469
113,498
114,444
115,298
116,395
117,55
118,174
119,239
120,347
121,136
122,318
123,67
124,289
125,137
126,54
127,426
128,375
129,93
130,414
131,338
132,269
133,187
134,383
135,283
136,415
137,430
138,195
139,369
140,156
141,70
142,70
143,318
144,362
145,347
146,261
147,485
148,219
149,461
150,394
151,468
152,317
153,216
154,355
155,86
156,442
157,374
158,245
159,55
160,283
161,308
162,269
163,494
164,349
165,320
166,224
167,188
168,167
169,138
170,256
171,131
172,468
173,485
174,396
175,136
176,54
177,493
178,116
179,97
180,435
181,251
182,429
183,107
184,94
185,253
186,308
187,147
188,460
189,161
190,148
191,349
192,385
193,470
194,154
195,76
196,88
197,289
198,57
199,130
200,452
201,101
202,139
203,387
204,56
205,295
206,458
207,346
208,429
209,345
210,92
211,215
212,455
213,379
214,176
215,435
216,244
217,456
218,371
219,437
220,313
221,274
222,393
223,98
224,103
225,493
226,85
227,456
228,289
229,458
230,263
231,386
232,133
233,209
234,483
235,471
236,226
237,170
238,494
239,294
240,424
241,258
242,323
243,112
244,380
245,313
246,216
247,270
248,436
249,358
250,444
251,393
252,340
253,293
254,264
255,242
256,379
257,248
258,398
259,250
260,488
261,306
262,388
263,405
264,440
265,374
266,364
267,175
268,87
269,483
270,73
271,340
272,133
273,388
274,62
275,323
276,241
277,369
278,118
279,302
280,235
281,239
282,295
283,375
284,331
285,203
286,353
287,216
288,299
289,341
290,436
291,466
292,423
293,128
294,111
295,455
296,157
297,389
298,344
299,385
300,152
301,450
302,405
303,480
304,360
305,337
306,423
307,331
308,189
309,379
310,406
311,179
312,224
313,77
314,162
315,57
316,300
317,218
318,184
319,499
320,243
321,294
322,396
323,375
324,65
325,406
326,174
327,61
328,319
329,50
330,485
331,350
332,145
333,135
334,50
335,125
336,334
337,377
338,471
339,116
340,310
341,320
342,311
343,272
344,208
345,325
346,410
347,71
348,144
349,79
350,220
351,68
352,55
353,470
354,407
355,327
356,461
357,326
358,196
359,54
360,384
361,224
362,446
363,487
364,406
365,416
366,52
367,414
368,458
369,250
370,282
371,435
372,218
373,129
374,112
375,323
376,122
377,274
378,339
379,102
380,326
381,139
382,60
383,256
384,471
385,325
386,71
387,415
388,208
389,234
390,353
391,344
392,240
393,214
394,445
395,369
396,309
397,283
398,197
399,446
400,316
401,402
402,146
403,455
404,286
405,214
406,274
407,430
408,499
409,306
410,427
411,295
412,114
413,183
414,424
415,196
416,246
417,486
418,53
419,280
420,300
421,430
422,402
423,345
424,355
425,266
426,118
427,459
428,325
429,129
430,353
431,119
432,271
433,306
434,226
435,208
436,56
437,243
438,219
439,154
440,69
441,289
442,197
443,351
444,189
445,195
446,200
447,184
448,432
449,358
450,186
