Knapsack,Capacity
1,401
2,196
3,265
4,351
5,199
6,466
7,272
8,371
9,486
10,210
11,119
12,137
13,310
14,145
15,441
16,247
17,205
18,299
19,160
20,173
21,302
22,450
23,119
24,241
25,228
26,189
27,499
28,239
29,298
30,371
31,319
32,199
33,490
34,220
35,237
36,420
37,332
38,473
39,383
40,96
41,60
42,217
43,205
44,424
45,275
46,488
47,72
48,453
49,83
50,104
51,350
52,470
53,377
54,429
55,416
56,361
57,385
58,416
59,242
60,180
61,136
62,444
63,449
64,371
65,218
66,424
67,225
68,116
69,222
70,314
71,358
72,74
73,466
74,296
75,261
76,134
77,339
78,326
79,196
80,88
81,400
82,431
83,271
84,315
85,390
86,273
87,154
88,278
89,171
90,154
91,148
92,344
93,323
94,161
95,102
96,69
97,91
98,50
99,326
100,371
101,396
102,89
103,101
104,56
105,326
106,358
107,225
108,308
109,315
110,124
111,375
112,351
113,402
114,462
115,86
116,312
117,490
118,489
119,427
120,436
121,109
122,422
123,326
124,122
125,403
126,357
127,361
128,415
129,290
130,400
131,177
132,67
133,433
134,160
135,146
136,284
137,277
138,60
139,198
140,103
141,239
142,169
143,407
144,424
145,159
146,140
147,321
148,228
149,276
150,292
151,256
152,203
153,219
154,359
155,491
156,58
157,123
158,127
159,424
160,336
161,318
162,142
163,66
164,174
165,472
166,483
167,429
168,219
169,50
170,409
171,217
172,481
173,168
174,109
175,397
176,437
177,458
178,213
179,421
180,268
181,495
182,103
183,412
184,256
185,236
186,292
187,304
188,328
189,368
190,319
191,75
192,61
193,455
194,469
195,134
196,142
197,111
198,414
199,412
200,244
201,168
202,311
203,163
204,341
205,152
206,351
207,163
208,416
209,439
210,422
211,97
212,340
213,375
214,274
215,245
216,193
217,151
218,301
219,391
220,352
221,176
222,468
223,123
224,488
225,77
226,58
227,100
228,433
229,172
230,213
231,179
232,191
233,488
234,324
235,274
236,443
237,52
238,379
239,331
240,469
241,233
242,116
243,279
244,305
245,228
246,269
247,206
248,156
249,72
250,199
251,446
252,142
253,377
254,252
255,232
256,183
257,324
258,320
259,369
260,390
261,426
262,105
263,320
264,131
265,137
266,217
267,271
268,362
269,125
270,318
271,90
272,211
273,92
274,205
275,490
276,413
277,106
278,239
279,332
280,223
281,411
282,492
283,265
284,412
285,189
286,361
287,310
288,245
289,237
290,193
291,273
292,474
293,131
294,206
295,498
296,393
297,405
298,373
299,209
300,210
301,385
302,192
303,340
304,423
305,140
306,489
307,485
308,159
309,423
310,313
311,174
312,234
313,101
314,495
315,263
316,106
317,199
318,179
319,244
320,144
321,396
322,286
323,205
324,176
325,311
326,458
327,320
328,63
329,481
330,412
331,233
332,465
333,141
334,196
335,207
336,193
337,177
338,75
339,416
340,214
341,120
342,143
343,306
344,195
345,470
346,149
347,462
348,343
349,143
350,257
351,206
352,489
353,448
354,282
355,129
356,134
357,326
358,223
359,378
360,287
361,259
362,476
363,100
364,272
365,111
366,79
367,57
368,230
369,451
370,391
371,338
372,252
373,158
374,203
375,116
376,317
377,197
378,125
379,84
380,470
381,361
382,234
383,275
384,318
385,67
386,375
387,85
388,408
389,499
390,499
391,383
392,379
393,284
394,398
395,197
396,232
397,246
398,208
399,129
400,161
401,250
402,197
403,261
404,95
405,400
406,286
407,400
408,361
409,122
410,414
411,415
412,488
413,118
414,130
415,416
416,249
417,464
418,358
419,225
420,263
421,373
422,324
423,400
424,220
425,422
426,382
427,252
428,332
429,182
430,88
431,189
432,177
433,268
434,427
435,471
436,73
437,496
438,304
439,497
440,253
441,481
442,301
443,258
444,213
445,258
446,462
447,242
448,216
449,295
450,449
451,50
452,303
453,266
454,321
455,444
456,496
457,417
458,222
459,184
460,137
461,129
462,351
463,314
464,188
465,187
466,438
467,97
468,283
469,342
470,495
471,267
472,462
473,385
474,206
475,329
476,486
477,299
478,211
479,70
480,340
481,404
482,353
483,282
484,478
485,101
486,114
487,266
488,114
489,213
490,308
491,121
492,434
493,289
494,187
495,208
496,125
497,83
498,315
499,204
500,118
501,341
502,349
503,431
504,185
505,85
506,70
507,152
508,336
509,240
510,105
511,333
512,375
513,287
514,500
515,175
516,215
517,60
518,469
519,53
520,102
521,293
522,467
523,258
524,111
525,398
526,70
527,449
528,171
529,481
530,124
531,359
532,161
533,201
534,435
535,155
536,143
537,344
538,493
539,299
540,311
541,244
542,496
543,271
544,285
545,55
546,295
547,250
548,488
549,340
550,327
551,253
552,186
553,404
554,282
555,457
556,265
557,73
558,180
559,313
560,289
561,223
562,389
563,474
564,355
565,114
566,73
567,137
568,416
569,363
570,236
571,56
572,190
573,377
574,472
575,175
576,337
577,472
578,88
579,395
580,259
581,325
582,60
583,77
584,242
585,244
586,336
587,400
588,55
589,474
590,364
591,386
592,413
593,405
594,245
595,61
596,94
597,247
598,311
599,483
600,469
601,98
602,55
603,464
604,478
605,221
606,280
607,194
608,144
609,369
610,127
611,254
612,213
613,334
614,374
615,293
616,50
617,230
618,80
619,164
620,245
621,287
622,455
623,419
624,129
625,218
626,111
627,286
628,212
629,205
630,192
631,467
632,287
633,57
634,444
635,145
636,332
637,181
638,274
639,248
640,325
641,207
642,379
643,154
644,188
645,123
646,177
647,391
648,274
649,319
650,415
651,430
652,182
653,179
654,370
655,495
656,371
657,356
658,431
659,219
660,132
661,109
662,156
663,282
664,455
665,289
666,298
667,360
668,395
669,411
670,218
671,125
672,142
673,115
674,227
675,122
676,176
677,213
678,357
679,73
680,451
681,58
682,326
683,472
684,176
685,250
686,258
687,293
688,468
689,92
690,281
691,427
692,191
693,172
694,455
695,217
696,427
697,451
698,111
699,476
700,309
701,72
702,482
703,341
704,68
705,177
706,428
707,158
708,217
709,141
710,90
711,196
712,127
713,205
714,419
715,121
716,470
717,113
718,363
719,198
720,112
721,500
722,63
723,291
724,205
725,406
726,130
727,484
728,275
729,477
730,85
731,191
732,168
733,276
734,475
735,453
736,102
737,375
738,94
739,358
740,175
741,161
742,154
743,61
744,339
745,479
746,213
747,121
748,275
749,345
750,107
751,95
752,207
753,52
754,272
755,209
756,186
757,195
758,90
759,493
760,304
761,390
762,201
763,359
764,426
765,282
766,191
767,68
768,71
769,346
770,479
771,235
772,343
773,436
774,191
775,204
776,138
777,472
778,78
779,396
780,198
781,138
782,496
783,180
784,312
785,270
786,433
787,371
788,135
789,275
790,251
791,249
792,391
793,416
794,274
795,473
796,435
797,385
798,284
799,356
800,213
801,333
802,161
803,66
804,165
805,180
806,363
807,64
808,274
809,413
810,284
811,192
812,179
813,154
814,327
815,141
816,400
817,383
818,249
819,396
820,215
821,217
822,375
823,336
824,94
825,238
826,303
827,274
828,349
829,434
830,57
831,440
832,198
833,210
834,91
835,216
836,220
837,445
838,186
839,61
840,63
841,447
842,103
843,97
844,297
845,244
846,286
847,241
848,438
849,402
850,113
851,402
852,355
853,134
854,453
855,470
856,87
857,482
858,331
859,365
860,291
861,210
862,122
863,157
864,408
865,215
866,259
867,225
868,281
869,252
870,431
871,362
872,152
873,415
874,381
875,121
876,199
877,223
878,183
879,341
880,436
881,153
882,202
883,498
884,152
885,193
886,448
887,415
888,261
889,188
890,340
891,275
892,427
893,477
894,271
895,201
896,492
897,101
898,488
899,176
900,484
901,500
902,59
903,119
904,390
905,450
906,477
907,337
908,68
909,101
910,95
911,62
912,445
913,175
914,338
915,377
916,101
917,298
918,117
919,260
920,214
921,209
922,325
923,202
924,174
925,111
926,493
927,94
928,416
929,82
930,319
931,286
932,500
933,109
934,64
935,161
936,149
937,141
938,93
939,351
940,479
941,290
942,147
943,398
944,75
945,218
946,421
947,258
948,461
949,77
950,135
