Knapsack,Capacity
1,448
2,191
3,345
4,403
5,115
6,172
7,285
8,283
9,487
10,104
11,95
12,500
13,178
14,470
15,271
16,311
17,158
18,205
19,477
20,358
21,486
22,321
23,420
24,445
25,265
26,76
27,278
28,125
29,137
30,268
31,211
32,76
33,348
34,388
35,93
36,395
37,96
38,165
39,92
40,72
41,158
42,57
43,474
44,464
45,464
46,368
47,461
48,194
49,322
50,402
51,166
52,413
53,65
54,73
55,152
56,325
57,337
58,57
59,394
60,276
61,211
62,157
63,91
64,490
65,260
66,435
67,169
68,316
69,386
70,387
71,281
72,233
73,357
74,496
75,101
76,85
77,252
78,60
79,75
80,272
